site_year	rel.abund.cleaners	rel.abund.visitors	rel.abund.residents	prob.Vis.Leav	market_binomial_data	market_binomial_pred
CB_2010	0.077821	0.0733961	0.848783	0.0425536	0.1	0.460055
CB_2017	0.0992063	0.128428	0.772365	0.202134	0	0.520194
CB_2018	0.0232964	0.0711883	0.905515	0.0646967	0.1	0.507375
HS_2017	0.34969	0.185536	0.464774	0.175523	0.2	0.600954
MC_2010	0.229058	0.254174	0.516769	0.212608	0.7	0.590164
MC_2016	0.189959	0.402801	0.40724	0.0408875	0.1	0.522263
MC_2017	0.338409	0.325671	0.335919	0.0942221	0.1	0.526829
MC_2018	0.358127	0.227761	0.414112	0.067399	0.2	0.544568
NHS_2016	0.0697906	0.146581	0.783628	0.0429897	0.3	0.53835
NHS_2017	0.28321	0.155419	0.561371	0.351928	0.8	0.594255
NHS_2018	0.156386	0.141834	0.701781	0.0615211	0.1	0.514286
TC_2018	0.404296	0.157856	0.437848	0.0992382	0.2	0.527559
