iteration	alpha_actor	alpha_critic	gamma	negReward	fit	ratio
0	0.05	0.05	0.7176	0.1469	-623.138	9.39959e-40
1	0.05	0.05	0.671244	0.135131	-580.129	4.76903e+18
2	0.05	0.05	0.671244	0.135131	-580.129	2.5197e-24
3	0.05	0.05	0.671244	0.135131	-580.129	0.00149514
4	0.05	0.05	0.599639	0.120735	-559.955	5.77104e+08
5	0.05	0.05	0.565273	0.127339	-555.916	56.7821
6	0.05	0.05	0.565273	0.127339	-555.916	0.0987692
7	0.05	0.05	0.565273	0.127339	-555.916	4.51679e-11
8	0.05	0.05	0.565273	0.127339	-555.916	1.32037e-25
9	0.05	0.05	0.565273	0.127339	-555.916	3.61303e-22
10	0.05	0.05	0.46798	0.136988	-540.04	7.84713e+06
11	0.05	0.05	0.46798	0.136988	-540.04	1.83525e-28
12	0.05	0.05	0.445527	0.117013	-516.107	2.47841e+10
13	0.05	0.05	0.445527	0.117013	-516.107	3.13459e-38
14	0.05	0.05	0.496033	0.100091	-498.602	4.00112e+07
15	0.05	0.05	0.586498	0.0771193	-495.145	31.7174
16	0.05	0.05	0.586498	0.0771193	-495.145	2.60403e-07
17	0.05	0.05	0.586498	0.0771193	-495.145	6.99929e-30
18	0.05	0.05	0.547504	0.0626006	-486.315	6838.18
19	0.05	0.05	0.556441	0.0425211	-465.455	1.14632e+09
20	0.05	0.05	0.464894	0.000947478	-464.365	2.97541
21	0.05	0.05	0.464894	0.000947478	-464.365	0.0173018
22	0.05	0.05	0.464894	0.000947478	-464.365	1.3069e-06
23	0.05	0.05	0.478538	0.0671653	-463.219	3.14477
24	0.05	0.05	0.478538	0.0671653	-463.219	6.76657e-25
25	0.05	0.05	0.478538	0.0671653	-463.219	1.05731e-06
26	0.05	0.05	0.478538	0.0671653	-463.219	0.01857
27	0.05	0.05	0.478538	0.0671653	-463.219	8.34602e-11
28	0.05	0.05	0.478538	0.0671653	-463.219	0.261686
29	0.05	0.05	0.478538	0.0671653	-463.219	6.04046e-07
30	0.05	0.05	0.478538	0.0671653	-463.219	4.20995e-13
31	0.05	0.05	0.478538	0.0671653	-463.219	0.000147487
32	0.05	0.05	0.478538	0.0671653	-463.219	0.000137273
33	0.05	0.05	0.478538	0.0671653	-463.219	7.31549e-05
34	0.05	0.05	0.478538	0.0671653	-463.219	8.93788e-08
35	0.05	0.05	0.478538	0.0671653	-463.219	1.33101e-15
36	0.05	0.05	0.468502	0.0226305	-457.727	242.743
37	0.05	0.05	0.468502	0.0226305	-457.727	1.23889e-17
38	0.05	0.05	0.559673	0.0195806	-447.489	27945
39	0.05	0.05	0.559673	0.0195806	-447.489	0.00310526
40	0.05	0.05	0.559673	0.0195806	-447.489	6.66876e-12
41	0.05	0.05	0.559673	0.0195806	-447.489	3.56472e-27
42	0.05	0.05	0.559673	0.0195806	-447.489	2.01264e-25
43	0.05	0.05	0.559673	0.0195806	-447.489	8.91965e-25
44	0.05	0.05	0.559673	0.0195806	-447.489	6.10307e-09
45	0.05	0.05	0.559673	0.0195806	-447.489	2.49266e-28
46	0.05	0.05	0.559673	0.0195806	-447.489	1.19801e-29
47	0.05	0.05	0.559673	0.0195806	-447.489	1.75572e-11
48	0.05	0.05	0.559673	0.0195806	-447.489	2.61407e-06
49	0.05	0.05	0.559673	0.0195806	-447.489	1.91178e-20
50	0.05	0.05	0.559673	0.0195806	-447.489	3.5723e-30
51	0.05	0.05	0.559673	0.0195806	-447.489	3.67028e-09
52	0.05	0.05	0.559673	0.0195806	-447.489	1.40322e-08
53	0.05	0.05	0.559673	0.0195806	-447.489	0.00110065
54	0.05	0.05	0.559673	0.0195806	-447.489	7.03669e-27
55	0.05	0.05	0.559673	0.0195806	-447.489	5.5353e-17
56	0.05	0.05	0.559673	0.0195806	-447.489	2.74623e-17
57	0.05	0.05	0.559673	0.0195806	-447.489	4.12225e-27
58	0.05	0.05	0.559673	0.0195806	-447.489	1.14212e-05
59	0.05	0.05	0.559673	0.0195806	-447.489	0.172407
60	0.05	0.05	0.559673	0.0195806	-447.489	9.00873e-27
61	0.05	0.05	0.559673	0.0195806	-447.489	1.62676e-12
62	0.05	0.05	0.559673	0.0195806	-447.489	6.87551e-41
63	0.05	0.05	0.559673	0.0195806	-447.489	1.38674e-10
64	0.05	0.05	0.559673	0.0195806	-447.489	1.18947e-12
65	0.05	0.05	0.559673	0.0195806	-447.489	1.51114e-07
66	0.05	0.05	0.559673	0.0195806	-447.489	7.13027e-22
67	0.05	0.05	0.559673	0.0195806	-447.489	4.25118e-26
