site_year	CleanerID	rel.abund.cleaners	rel.abund.visitors	rel.abund.residents	prob.Vis.Leav	visitorChoices	visitorChoices_pred
CB_2010	CL01	0.116732	0.0702992	0.812969	0.0425536	9	0.520371
CB_2010	CL02	0.116732	0.0702992	0.812969	0.0425536	17	0.520371
CB_2010	CL03	0.116732	0.0702992	0.812969	0.0425536	3	0.520371
CB_2010	CL04	0.116732	0.0702992	0.812969	0.0425536	16	0.520371
CB_2010	CL05	0.116732	0.0702992	0.812969	0.0425536	11	0.520371
MC_2010	CL04	0.343586	0.216414	0.439999	0.212608	18	0.736478
MC_2010	CL03	0.343586	0.216414	0.439999	0.212608	18	0.736478
MC_2010	CL01	0.343586	0.216414	0.439999	0.212608	18	0.736478
MC_2010	CL07	0.343586	0.216414	0.439999	0.212608	18	0.736478
MC_2010	CL08	0.343586	0.216414	0.439999	0.212608	17	0.736478
MC_2010	CL09	0.343586	0.216414	0.439999	0.212608	10	0.736478
MC_2010	CL05	0.343586	0.216414	0.439999	0.212608	17	0.736478
MC_2010	CL02	0.343586	0.216414	0.439999	0.212608	18	0.736478
MC_2010	CL06	0.343586	0.216414	0.439999	0.212608	18	0.736478
MC_2010	CL10	0.343586	0.216414	0.439999	0.212608	5	0.736478
CB_2010	CL06	0.116732	0.0702992	0.812969	0.0425536	5	0.518038
CB_2010	CL07	0.116732	0.0702992	0.812969	0.0425536	13	0.518038
CB_2010	CL08	0.116732	0.0702992	0.812969	0.0425536	6	0.518038
CB_2010	CL09	0.116732	0.0702992	0.812969	0.0425536	9	0.518038
CB_2010	CL10	0.116732	0.0702992	0.812969	0.0425536	14	0.518038
CB_2017	CL01	0.14881	0.121356	0.729834	0.202134	13	0.639777
CB_2017	CL02	0.14881	0.121356	0.729834	0.202134	10	0.639777
CB_2017	CL03	0.14881	0.121356	0.729834	0.202134	4	0.639777
CB_2017	CL04	0.14881	0.121356	0.729834	0.202134	15	0.639777
CB_2017	CL05	0.14881	0.121356	0.729834	0.202134	10	0.639777
CB_2017	CL06	0.14881	0.121356	0.729834	0.202134	9	0.639777
CB_2017	CL07	0.14881	0.121356	0.729834	0.202134	10	0.639777
CB_2017	CL08	0.14881	0.121356	0.729834	0.202134	6	0.639777
CB_2017	CL09	0.14881	0.121356	0.729834	0.202134	12	0.639777
CB_2017	CL10	0.14881	0.121356	0.729834	0.202134	1	0.639777
NHS_2017	CL11	0.424815	0.124715	0.45047	0.351928	18	0.743963
NHS_2017	CL12	0.424815	0.124715	0.45047	0.351928	19	0.743963
NHS_2017	CL13	0.424815	0.124715	0.45047	0.351928	2	0.743963
NHS_2017	CL14	0.424815	0.124715	0.45047	0.351928	16	0.743963
NHS_2017	CL15	0.424815	0.124715	0.45047	0.351928	15	0.743963
NHS_2017	CL16	0.424815	0.124715	0.45047	0.351928	11	0.743963
NHS_2017	CL17	0.424815	0.124715	0.45047	0.351928	18	0.743963
NHS_2017	CL18	0.424815	0.124715	0.45047	0.351928	19	0.743963
NHS_2017	CL19	0.424815	0.124715	0.45047	0.351928	19	0.743963
NHS_2017	CL20	0.424815	0.124715	0.45047	0.351928	18	0.743963
HS_2017	CL21	0.524535	0.135652	0.339813	0.175523	13	0.650642
HS_2017	CL22	0.524535	0.135652	0.339813	0.175523	10	0.650642
HS_2017	CL23	0.524535	0.135652	0.339813	0.175523	10	0.650642
HS_2017	CL24	0.524535	0.135652	0.339813	0.175523	6	0.650642
HS_2017	CL25	0.524535	0.135652	0.339813	0.175523	19	0.650642
HS_2017	CL26	0.524535	0.135652	0.339813	0.175523	14	0.650642
HS_2017	CL27	0.524535	0.135652	0.339813	0.175523	16	0.650642
HS_2017	CL28	0.524535	0.135652	0.339813	0.175523	17	0.650642
HS_2017	CL29	0.524535	0.135652	0.339813	0.175523	15	0.650642
HS_2017	CL30	0.524535	0.135652	0.339813	0.175523	10	0.650642
MC_2017	CL31	0.507614	0.242379	0.250007	0.0942221	16	0.618743
MC_2017	CL32	0.507614	0.242379	0.250007	0.0942221	10	0.618743
MC_2017	CL33	0.507614	0.242379	0.250007	0.0942221	10	0.618743
MC_2017	CL34	0.507614	0.242379	0.250007	0.0942221	10	0.618743
MC_2017	CL35	0.507614	0.242379	0.250007	0.0942221	12	0.618743
MC_2017	CL36	0.507614	0.242379	0.250007	0.0942221	11	0.618743
MC_2017	CL37	0.507614	0.242379	0.250007	0.0942221	13	0.618743
MC_2017	CL38	0.507614	0.242379	0.250007	0.0942221	10	0.618743
MC_2017	CL39	0.507614	0.242379	0.250007	0.0942221	6	0.618743
MC_2017	CL40	0.507614	0.242379	0.250007	0.0942221	13	0.618743
NHS_2018	CL01	0.234579	0.128687	0.636734	0.0615211	13	0.553516
