iteration	alpha_actor	alpha_critic	gamma	negReward	fit	ratio
0	0.01	0.01	0.00985254	0.00487382	-51.5524	1.05646
1	0.01	0.01	0.00142311	0	-49.9481	0.96888
2	0.01	0.01	0	0.00631335	-51.303	1.02713
3	0.01	0.01	0.00794968	0.00361666	-51.1823	0.997648
4	0.01	0.01	0.000203881	0	-50.0665	0.978199
5	0.01	0.01	0.0100231	0	-49.5778	0.990239
6	0.01	0.01	0.00419811	0.00850298	-49.5069	0.99857
7	0.01	0.01	0	0.0138381	-50.0347	1.01066
8	0.01	0.01	0.0121652	0.0134265	-50.423	1.00776
9	0.01	0.01	0.0228847	0.010072	-50.5423	1.00237
10	0.01	0.01	0.0265594	0	-50.6054	1.00125
11	0.01	0.01	0.0266058	0.00673625	-50.5496	0.998896
12	0.01	0.01	0.0273645	0.00428012	-50.3588	0.996226
13	0.01	0.01	0.0187443	0.00626191	-50.3903	1.00063
14	0.01	0.01	0.0216123	0	-49.147	0.975325
15	0.01	0.01	0.0410092	0	-49.773	1.01274
16	0.01	0.01	0.0459902	0	-50.5172	1.01495
17	0.01	0.01	0.0723856	0.00122578	-51.0285	1.01012
18	0.01	0.01	0.0781333	0.00815024	-51.3443	1.00619
19	0.01	0.01	0.0823374	0	-50.0389	0.974575
20	0.01	0.01	0.0796285	0.00606923	-50.1342	1.00191
21	0.01	0.01	0.0768428	0.00416188	-50.5957	1.0092
22	0.01	0.01	0.0691846	0.0160404	-51.8687	1.02516
23	0.01	0.01	0.0691846	0.0160404	-51.8687	0.978127
24	0.01	0.01	0.0685568	0.010458	-51.4155	0.991262
25	0.01	0.01	0.0552974	0	-49.5173	0.963081
26	0.01	0.01	0.0456409	0.0176067	-50.815	1.02621
27	0.01	0.01	0.0581133	0.00821687	-51.484	1.01316
28	0.01	0.01	0.0549991	0.0401756	-52.6786	1.0232
29	0.01	0.01	0.0481355	0.0588538	-54.5404	1.03534
30	0.01	0.01	0.049248	0.0718659	-53.8977	0.988217
31	0.01	0.01	0.0429667	0.0729783	-56.0216	1.0394
32	0.01	0.01	0.0455397	0.0693125	-55.0559	0.982763
33	0.01	0.01	0.0471085	0.0666172	-55.1135	1.00105
34	0.01	0.01	0.0513984	0.0749432	-54.6885	0.992288
35	0.01	0.01	0.0425308	0.0808464	-56.3619	1.0306
36	0.01	0.01	0.0555003	0.0715371	-54.8705	0.973538
37	0.01	0.01	0.0682052	0.0817379	-55.4918	1.01132
38	0.01	0.01	0.0504	0.0854904	-54.3366	0.979183
39	0.01	0.01	0.043717	0.079603	-55.2895	1.01754
40	0.01	0.01	0.0438502	0.0740371	-55.5052	1.0039
41	0.01	0.01	0.0491484	0.0834057	-55.9383	1.0078
42	0.01	0.01	0.0354299	0.0694717	-54.7454	0.978674
43	0.01	0.01	0.0241695	0.0691684	-54.8774	1.00241
44	0.01	0.01	0	0.0782565	-54.1967	0.987595
45	0.01	0.01	0.001164	0.086905	-54.6642	1.00863
46	0.01	0.01	0.00623496	0.101883	-56.7761	1.03863
47	0.01	0.01	0.00751311	0.105387	-57.6761	1.01585
48	0.01	0.01	0.0128856	0.0847913	-54.3584	0.942478
49	0.01	0.01	0.0236816	0.0715105	-53.9128	0.991802
50	0.01	0.01	0.0107058	0.0721771	-53.9569	1.00082
51	0.01	0.01	0.00755076	0.0822565	-56.0902	1.03954
52	0.01	0.01	0.00858138	0.0889201	-56.11	1.00035
53	0.01	0.01	0.0280637	0.104788	-57.7682	1.02955
54	0.01	0.01	0.0430339	0.119085	-58.949	1.02044
55	0.01	0.01	0.016934	0.111145	-57.41	0.973893
